,0
40,"Open World,FPS,Action,Adventure,Shooter,Stealth,Multiplayer,Hunting,First-Person,Singleplayer,Co-op,Sandbox,Survival,Story Rich,Masterpiece,Online Co-Op,Atmospheric,Colorful,Crafting,Nudity"
41,"Space,Action,Indie,Sci-fi,Strategy,Top-Down,RPG,Zombies,Singleplayer,Procedural Generation,Open World,2D,Pirates,Exploration,Shooter,Sandbox,Addictive,Adventure"
42,"Zombies,Survival,Open World,Parkour,Co-op,Multiplayer,Action,First-Person,Horror,Gore,Survival Horror,Crafting,FPS,Adventure,Atmospheric,Shooter,Singleplayer,RPG,Stealth,Sandbox"
43,"Open World,Action,Sandbox,Third Person,Multiplayer,Adventure,Third-Person Shooter,Shooter,Singleplayer,Destruction,Exploration,Funny,Moddable,Co-op,Beautiful,Physics,Atmospheric,3D Vision,Comedy,Massively Multiplayer"
44,"Open World,Action,Post-apocalyptic,Driving,Singleplayer,Survival,Third Person,Adventure,Exploration,Racing,Atmospheric,Story Rich,Sandbox,RPG,Third-Person Shooter,Shooter,Multiplayer,War,Sci-fi,First-Person"
45,"Puzzle,Co-op,First-Person,Sci-fi,Comedy,Singleplayer,Online Co-Op,Funny,Adventure,Science,Female Protagonist,Story Rich,Action,Multiplayer,Atmospheric,Masterpiece,Local Co-Op,FPS,Strategy,Space"
46,"Action,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,Open World,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,Massively Multiplayer,Survival,Isometric,Adventure"
47,"City Builder,Simulation,Strategy,Management,Comedy,Sandbox,Singleplayer,Great Soundtrack,Economy,Real-Time with Pause,Politics,Building,Resource Management,Political,Funny,Cold War,RTS,Atmospheric,God Game,Capitalism"
48,"Platformer,Metroidvania,Indie,Great Soundtrack,Action,Pixel Graphics,Adventure,2D,Retro,Singleplayer,Masterpiece,Classic,Exploration,Replay Value,Difficult,Story Rich,Shooter,Remake,Cute,Sci-fi"
49,"Horror,FPS,Action,Bullet Time,Classic,Singleplayer,Masterpiece,Atmospheric,Shooter,Gore,First-Person,Psychological Horror,Story Rich,Dark,Sci-fi,Great Soundtrack,Survival Horror,Adventure,Old School,Thriller"
50,"Open World,Action,Martial Arts,Third Person,Crime,Adventure,Fighting,Singleplayer,Sandbox,Story Rich,Great Soundtrack,Driving,RPG,Parkour,Third-Person Shooter,Violent,Shooter,Atmospheric,Masterpiece,Multiplayer"
51,"Open World,Action,Comedy,Co-op,Third-Person Shooter,Superhero,Sandbox,Funny,Character Customization,Third Person,Adventure,Online Co-Op,Aliens,Parody,Multiplayer,Great Soundtrack,Singleplayer,Sci-fi,Dark Humor,Female Protagonist"
52,"Survival,Zombies,Open World,Multiplayer,PvP,Massively Multiplayer,Action,Early Access,Simulation,FPS,Post-apocalyptic,Survival Horror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,Military"
53,"FPS,Action,Sci-fi,Classic,Singleplayer,Masterpiece,Story Rich,Shooter,First-Person,Adventure,Dystopian,Atmospheric,Zombies,Silent Protagonist,Aliens,Physics,Great Soundtrack,Puzzle,Multiplayer,Horror"
54,"Building,Space,Sandbox,Strategy,Action,2D,Indie,Singleplayer,Top-Down,Open World,Exploration,Sci-fi,Shooter,Great Soundtrack,Adventure,Physics,Bullet Hell,Multiplayer,Arcade,Simulation"
55,"Puzzle,First-Person,Sci-fi,Atmospheric,Story Rich,Philisophical,Singleplayer,Great Soundtrack,Robots,Adventure,Exploration,Open World,Indie,Difficult,Multiple Endings,Post-apocalyptic,Action,Mystery,Simulation,Masterpiece"
56,"Stealth,Puzzle,Indie,2D,Pixel Graphics,Comedy,Singleplayer,Action,Strategy,Noir,Platformer,Great Soundtrack,Funny,Short,Hacking,Level Editor,GameMaker,Story Rich,Adventure,Sci-fi"
57,"Parkour,Action,Indie,Martial Arts,Sandbox,Fighting,Fast-Paced,Moddable,Open World,Ninja,Physics,Gore,Third Person,Multiplayer,Singleplayer,Difficult,Funny,Adventure,Local Co-Op,Early Access"
58,"Great Soundtrack,Atmospheric,Platformer,Adventure,Story Rich,Fantasy,Cute,2D,Metroidvania,Singleplayer,Difficult,Action,Indie,Puzzle,Exploration,Side Scroller,Family Friendly,Open World,RPG,2.5D"
59,"Simulation,Management,Indie,Strategy,Casual,Singleplayer,Economy,2D,Moddable,Addictive,Replay Value,Sandbox,Funny,GameMaker,Point & Click,Difficult,Masterpiece,Great Soundtrack,Comedy,Touch-Friendly"
60,"Sniper,Action,Stealth,World War II,Multiplayer,Shooter,Co-op,Adventure,Third-Person Shooter,Tactical,War,Third Person,Online Co-Op,Singleplayer,Open World,Gore,Strategy,FPS,Atmospheric,Simulation"
61,"Strategy,Simulation,Indie,Sci-fi,Space,2D,Sandbox,Building,Singleplayer,Moddable,Multiplayer"
62,"Rogue-like,Platformer,Indie,Action,2D,Singleplayer,Metroidvania,Rogue-lite,RPG,Pixel Graphics,Side Scroller,Fantasy,Controller,Addictive,Medieval,Exploration,Difficult,Adventure,Replay Value,Procedural Generation"
63,"God Game,Simulation,Adventure,Strategy,Sandbox,Singleplayer,Puzzle,Magic,Building,Beautiful,Masterpiece,Physics"
64,"Fighting,2D Fighter,Multiplayer,Pixel Graphics,Indie,Local Multiplayer,Competitive,Great Soundtrack,2D,4 Player Local,Platformer,Action,Arcade,Early Access,Singleplayer,Beat 'em up,Controller,Retro,GameMaker,Anime"
65,"Local Multiplayer,Indie,Fighting,Swordplay,Action,Multiplayer,2D Fighter,Pixel Graphics,PvP,2D,Fast-Paced,Sports,Funny,Competitive,Controller,Local Co-Op,Platformer,Great Soundtrack,GameMaker,Co-op"
66,"Stealth,First-Person,Action,Steampunk,Assassin,Singleplayer,Atmospheric,Story Rich,Adventure,Multiple Endings,Dark,Magic,Dystopian,FPS,RPG,Replay Value,Fantasy,Masterpiece,Open World,Shooter"
67,"Racing,Great Soundtrack,Futuristic,Multiplayer,Level Editor,Indie,Action,Singleplayer,Atmospheric,Fast-Paced,Cyberpunk,Local Multiplayer,Arcade,Survival,Sci-fi,Split Screen,Early Access,Platformer,4 Player Local,Adventure"
68,"RPG,Turn-Based,Adventure,Fantasy,Great Soundtrack,Anime,Funny,Indie,Singleplayer,Comedy,JRPG,2D,Epic,Strategy,Turn-Based Combat,Action,Casual,Parody,Cats,Cute"
69,"Survival,Exploration,Indie,Adventure,First-Person,Open World,Atmospheric,Singleplayer,Action,Walking Simulator,Horror,Crafting,Mystery,Masterpiece,Multiplayer,Simulation"
70,"Horror,Sci-fi,Action,Space,Third Person,Survival Horror,Atmospheric,Singleplayer,Third-Person Shooter,Gore,Shooter,Aliens,Dark,Futuristic,Story Rich,Silent Protagonist,Survival,Adventure,Masterpiece,Zombies"
71,"Great Soundtrack,Action,Violent,Indie,Top-Down,1980s,Fast-Paced,Pixel Graphics,Gore,Psychedelic,Retro,Difficult,Singleplayer,Surreal,Shooter,2D,Addictive,Atmospheric,Music,Top-Down Shooter"
72,"Pixel Graphics,Action,Indie,Comedy,Adventure,Shooter,2D,Funny,Political,Great Soundtrack,Gore,Singleplayer,Difficult,Platformer,Fast-Paced,Shoot 'Em Up,Violent,Multiplayer"
73,"Rhythm,Rogue-like,Great Soundtrack,Pixel Graphics,Dungeon Crawler,Indie,Female Protagonist,Difficult,Music,Local Co-Op,RPG,Rogue-lite,Action,2D,Procedural Generation,Singleplayer,Co-op,Adventure,Fantasy,Retro"
74,"Puzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,Dark Humor,Great Soundtrack"
75,"Platformer,Mining,Steampunk,Indie,Adventure,Metroidvania,Western,Robots,2D,Action,Singleplayer,Exploration,Short,Casual,Sci-fi,Great Soundtrack,Side Scroller,Sandbox,Controller,RPG"
76,"Puzzle,Exploration,Indie,Atmospheric,First-Person,Abstract,Surreal,Adventure,Singleplayer,Mystery,VR,Walking Simulator,Horror,Minimalist,Story Rich,Masterpiece"
77,"Rogue-like,Indie,Replay Value,Difficult,Procedural Generation,Dark,Action,Top-Down,Great Soundtrack,Addictive,Singleplayer,Adventure,Rogue-lite,Survival,RPG,2D,Dungeon Crawler,Perma Death,Bullet Hell,Masterpiece"
78,"Space,Simulation,RPG,Open World,Sci-fi,Space Sim,Singleplayer,Action,Sandbox,Adventure,Moddable,Strategy,Early Access,Survival,Difficult,Relaxing,Indie,4X"
79,"Detective,Atmospheric,Mystery,Walking Simulator,Exploration,First-Person,Adventure,Horror,Singleplayer,Story Rich,Supernatural,Puzzle,Lovecraftian,Indie,Open World,Great Soundtrack,Short,Psychological Horror,Masterpiece,Beautiful"
80,"Simulation,Funny,Comedy,Open World,Sandbox,Physics,Indie,Action,Singleplayer,Casual,Destruction,Third Person,Co-op,Exploration,Moddable,Local Multiplayer,Local Co-Op,Memes,Family Friendly,MMORPG"
81,"RPG,Sci-fi,Story Rich,Action,Third-Person Shooter,Space,Singleplayer,Great Soundtrack,Third Person,Choices Matter,Shooter,Female Protagonist,Character Customization,Adventure,Masterpiece,Open World,Atmospheric,Romance,Real-Time with Pause,Action RPG"
82,"City Builder,Strategy,Simulation,Survival,Indie,Singleplayer,Sandbox,Medieval,Relaxing,Resource Management,Economy,Building,Management,Open World,Difficult,Beautiful,Procedural Generation,Masterpiece,Historical,RTS"
83,"Casual,Indie,Strategy,Dragons,Action,Fantasy,Multiplayer,Arcade,Singleplayer,Co-op"
84,"Stealth,Platformer,Ninja,Indie,2D,Action,Singleplayer,Side Scroller,Adventure,Assassin,Atmospheric,Controller,Masterpiece,Replay Value,Cartoon,Puzzle,Dark,Short,Story Rich,Strategy"
85,"Free to Play,Relaxing,Casual,Indie,Physics,Singleplayer,2D,Great Soundtrack,Beautiful,Point & Click,Puzzle,Action,Open World"
86,"Open World,Adventure,Singleplayer,Exploration,Robots,Casual,3D Platformer,Cute,Parkour,Sandbox,Third Person,Indie,Short,Platformer,Relaxing,Funny,Physics,Atmospheric,Controller,Great Soundtrack"
87,"Indie,Arcade,Bullet Hell,Action,Pixel Graphics,2D,Shoot 'Em Up,Great Soundtrack,Singleplayer,Retro,Shooter,Fast-Paced,Addictive,Flight,Difficult,Simulation,World War II,Masterpiece,Rogue-like,Replay Value"
88,"Simulation,Military,Action,Multiplayer,Tactical,Realistic,FPS,Open World,Strategy,Shooter,First-Person,War,Co-op,Moddable,Singleplayer,Third Person,Sandbox,Zombies,Third-Person Shooter,TrackIR"
89,"Platformer,Indie,Puzzle,Pixel Graphics,Exploration,Great Soundtrack,Singleplayer,Adventure,Casual,Mystery,Puzzle-Platformer,2D,Beautiful,Relaxing,Atmospheric,Masterpiece,Cute,Retro,2.5D,Controller"
90,"Action,Indie,Platformer,Female Protagonist,Fast-Paced,2D,Shooter,Difficult,Pixel Graphics,Local Co-Op,Singleplayer,Bullet Time,Arcade,Side Scroller,Shoot 'Em Up,Short,Cute,Retro,Co-op,Local Multiplayer"
91,"FPS,Co-op,Loot,RPG,Action,Shooter,Open World,Funny,Multiplayer,Comedy,Online Co-Op,Adventure,Action RPG,Dark Humor,Memes,Sci-fi,Singleplayer,Futuristic,Stylized,Atmospheric"
92,"Racing,Indie,Singleplayer,Fast-Paced,Action,Minimalist,Arcade,Difficult,Casual,Sci-fi,Controller,Great Soundtrack,Kickstarter,VR,Atmospheric,Perma Death,Flight,Runner,Addictive,Level Editor"
93,"Action,Sci-fi,Top-Down Shooter,Shooter,Local Co-Op,Singleplayer,Aliens,Co-op,Top-Down,Horror,Isometric,Adventure,Twin Stick Shooter,Gore,Multiplayer,Indie"
94,"Platformer,Difficult,Indie,Pixel Graphics,Female Protagonist,Lovecraftian,Action,Gore,2D,Great Soundtrack,Singleplayer,Side Scroller,Retro,Hack and Slash,Horror,Cute,Beat 'em up,Gothic,Blood"
95,"Survival,Stealth,Robots,Indie,First-Person,Procedural Generation,Action,Singleplayer,Open World,Steampunk,Atmospheric,Comedy,Horror,FPS,Multiplayer,Kickstarter,Exploration,Sandbox,Adventure,Rogue-like"
96,"Music,Indie,Shoot 'Em Up,Action,Rhythm,Casual,Bullet Hell,Arcade,Music-Based Procedural Generation,Singleplayer,Procedural Generation,Shooter"
97,"Platformer,Indie,Satire,Comedy,Short,Parody,Pixel Graphics,2D,Singleplayer,Funny,Retro,Casual,Adventure,Side Scroller,Exploration,Metroidvania,Action,Memes,Zombies,Dark Comedy"
98,"Comedy,Narration,Indie,First-Person,Walking Simulator,Funny,Satire,Psychological,Dynamic Narration,Adventure,Exploration,Singleplayer,Multiple Endings,Choices Matter,Short,Story Rich,Atmospheric,Surreal,Puzzle,Casual"
99,"Platformer,Great Soundtrack,Action,Female Protagonist,2D,Indie,Retro,Pixel Graphics,Fast-Paced,Adventure,Singleplayer,Kickstarter,Difficult,Anime,Cute,Classic,Side Scroller,Story Rich,Funny,Aliens"
100,"Indie,Casual,Puzzle,Relaxing,Singleplayer,Physics,Great Soundtrack,Atmospheric,2D,Difficult,Minimalist,Space,Strategy,Procedural Generation,Arcade,Science,Sci-fi,Space Sim,Simulation,Education"
101,"Parkour,Free to Play,Indie,Action,Female Protagonist,Great Soundtrack,Third Person,Singleplayer,Runner,First-Person,Cyberpunk,Multiplayer"
102,"Comedy,Indie,Strategy,Tower Defense,Action,Racing,Historical,Multiplayer,Funny,Local Multiplayer,Bowling,Singleplayer,Destruction,Casual,Split Screen"
103,"Action,Indie,Flight,Fast-Paced,Multiplayer,Free to Play,Early Access,Shooter"
104,"Fishing,Casual,Cute,Cats,Indie,Relaxing,Simulation,Singleplayer,2D,Arcade,Underwater,Puzzle,Action,Funny,Difficult,Psychological Horror,Anime,Family Friendly,Multiplayer,Gore"
105,"Action,Fast-Paced,Indie,Beat 'em up,Fighting,Singleplayer,Addictive,Martial Arts,2D,Casual,Difficult,Arcade,Great Soundtrack,Epic,Rhythm,Mouse only,Masterpiece,Blood,Gore,Funny"
106,"Indie,Platformer,Action,Colorful,Adventure,Difficult,2D,Singleplayer,GameMaker,Puzzle-Platformer,Great Soundtrack"
107,"Action,Indie,Platformer,2D,Physics,Sci-fi,Shooter,Singleplayer,Side Scroller,Difficult,Great Soundtrack,Shoot 'Em Up,Masterpiece"
108,"Tower Defense,Strategy,Indie,Casual,Singleplayer"
109,"Platformer,Pixel Graphics,Indie,Puzzle,Adventure,2D,Great Soundtrack,Retro,Action,Sci-fi,Singleplayer,Puzzle-Platformer,Short,Difficult,Anime,Metroidvania,Space,Shoot 'Em Up,Shooter,Arcade"
110,"Puzzle,Casual,Indie,Relaxing,2D,Colorful,Singleplayer,Touch-Friendly,Difficult,Beautiful"
111,"Indie,Platformer,Casual,Puzzle,Physics,Atmospheric,Strategy,2D,Short,Singleplayer,Relaxing,Great Soundtrack"
112,"Strategy,Turn-Based,Tactical,Indie,Asynchronous Multiplayer,Great Soundtrack,Cyberpunk,Multiplayer,Turn-Based Strategy,Sci-fi,Top-Down,Competitive,Singleplayer,Addictive,Chess,Difficult,Co-op,Masterpiece,Replay Value,Local Multiplayer"
113,"Action,Indie,Physics,Mouse only,2D,Singleplayer,Multiple Endings,Experimental,Difficult,Steampunk,Fighting,Masterpiece,Local Multiplayer"
114,"FPS,Rogue-lite,Procedural Generation,Magic,Action,Rogue-like,Perma Death,Indie,Shooter,Difficult,Replay Value,Dungeon Crawler,RPG,Arena Shooter,Fast-Paced,Exploration,Loot,Cartoony,Funny,Multiple Endings"
115,"Indie,Action,First-Person,Sports,Score Attack,VR,Funny,Comedy,Casual,Singleplayer"
116,"Racing,Driving,Sports,Multiplayer,Arcade,Simulation,Singleplayer,Realistic,Action,Controller,Local Multiplayer,Split Screen,Open World,Co-op,Masterpiece,Online Co-Op,Casual,First-Person,Local Co-Op,3D Vision"
117,"Action,Multiplayer,Indie,Arena Shooter,Fast-Paced,FPS,Third-Person Shooter,Flight,Shooter,Space,Difficult,Sci-fi,First-Person,Mechs,Simulation,Competitive,6DOF"
118,"Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Indie,2D,Resource Management,Base Building,Economy,Top-Down,Moddable,City Builder,Replay Value,Early Access,Casual,Funny,Action,Comedy"
119,"Horror,First-Person,Atmospheric,Survival Horror,Gore,Survival,Psychological Horror,Singleplayer,Adventure,Action,Dark,Indie,Stealth,Nudity,Parkour,Difficult,Masterpiece,3D Vision,Walking Simulator,Sci-fi"
120,"Difficult,Great Soundtrack,Indie,Fast-Paced,Arcade,Addictive,Rhythm,Singleplayer,Score Attack,Action,Minimalist,Music,2D,Psychedelic,Colorful,Casual,Replay Value,Controller,Masterpiece,Puzzle"
121,"Great Soundtrack,Indie,Arcade,Action,Local Co-Op,Fast-Paced,Singleplayer,Co-op,Psychedelic,Stylized,Sci-fi,Rhythm,Space,Casual,Local Multiplayer,Adventure"
122,"Exploration,Relaxing,Walking Simulator,Indie,Casual,Procedural Generation,Experimental,First-Person,Adventure,Beautiful,Atmospheric,Singleplayer,Great Soundtrack,Pixel Graphics,Open World,Surreal,Sandbox,Cute,Music,Short"
123,"Shoot 'Em Up,Bullet Hell,Local Co-Op,Indie,Steampunk,Arcade,Action,4 Player Local,Difficult,Local Multiplayer,2D,Pixel Graphics,Co-op,Great Soundtrack,Retro,Mars,Alternate History,Shooter,Singleplayer,Sci-fi"
124,"Rogue-like,Platformer,Indie,Difficult,2D,Local Co-Op,Replay Value,Procedural Generation,Addictive,Action,Perma Death,Rogue-lite,Adventure,Singleplayer,Co-op,Controller,Local Multiplayer,Great Soundtrack,Side Scroller,Multiplayer"
125,"Rogue-like,Indie,Platformer,Action,Pixel Graphics,Great Soundtrack,Online Co-Op,Difficult,Perma Death,Co-op,2D,Local Co-Op,Rogue-lite,Multiplayer,Singleplayer,Addictive,RPG,Replay Value,Survival,Sci-fi"
126,"Early Access,Free to Play,Survival,Multiplayer,FPS,Shooter,Post-apocalyptic,Action,First-Person,Open World,PvP,Early Access,Co-op,Atmospheric,Massively Multiplayer,Zombies,Crafting,Adventure,RPG,Exploration"
127,"Indie,Rhythm,Platformer,Difficult,Music,Runner,Retro,Great Soundtrack,Action,Singleplayer,2D,Pixel Graphics,Arcade,Minimalist,Side Scroller,Addictive,Casual,Controller,Colorful,Replay Value"
128,"God Game,Strategy,Indie,Simulation,Singleplayer,Sandbox,Casual,2D,Puzzle,Replay Value,Resource Management,Fantasy,Addictive,Relaxing,Nature,Family Friendly,Great Soundtrack,Management,Masterpiece,Multiplayer"
129,"Indie,Strategy,Simulation,Action,Gore,Puzzle,Funny,Singleplayer,Multiplayer,Physics"
130,"Strategy,Indie,Action,Tower Defense,Pixel Graphics,RTS"
131,"Open World,Action,Character Customization,Sandbox,Third-Person Shooter,Comedy,Co-op,Third Person,Crime,Singleplayer,Online Co-Op,Multiplayer,Shooter,Funny,Co-op Campaign,Replay Value,Great Soundtrack,Female Protagonist,Moddable,Adventure"
132,"Indie,Racing,Action,Psychedelic,Music"
133,"Indie,Adventure,Puzzle,Minimalist,Exploration,Atmospheric,Puzzle-Platformer,Platformer,Difficult,2D,Singleplayer"
134,"Indie,Platformer,Great Soundtrack,Puzzle,Physics,2D,Relaxing"
